company,industry,size,year_founded,status,follower_count,tech_stack,benefits
Paylocity,"Human Resources, Payroll, Software Development / Engineering",5k-10k employees,1997,Public,150,"['aws', 'api-gateway', '.net', 'c#', 'sql-server', 'react-native', 'agile', 'kubernetes', 'sql', 'ruby-on-rails', 'css', 'python', 'amazon-ec2', 'aws-lambda', 'octopus-deploy', 'teamcity', 'infrastructure-as-code', 'cisco', 'f5', 'imperva', 'devops', 'swift', 'kotlin', 'cypress', 'postman', 'data-modeling', 'supervised-learning', 'nlp', 'machine-learning', 'cicd', 'docker', 'pyspark']","['100% Remote Opportunities in Product & Tech Teams', 'Tuition Reimbursement', 'Adoption Assistance', 'Milkstork program for moms who travel on business to ship breastmilk a', 'Health Advocacy Services: Concierge health services from Blue Cross &', 'Health and wellness programs ranging from Naturally Slim to Ovia Healt', 'Discounted Employee Stock Purchasing program', 'Volunteers In Action program for paid time off to volunteer', 'Onsite workout facilities and gym membership subsidies', 'Paid Parental Leave']"
Arthrex GmbH,"Medical Devices, Medical Imaging, Medical Software",5k-10k employees,1981,Private,17,"['angular', 'javascript', '.net', 'c#', 'azure', 'reactjs', 'typescript', 'swift', 'dynamics-365', 'github-copilot', 'power-platform', 'azure-openai', 'python', 'pcf', 'powerfix', 'citizendevelopment', 'copilotstudio']","['International and dynamic environment', 'Free lunch in our canteen (Mo-Thu)', 'Flexible working hours and partial mobile working opportunity', 'Plenty of room for innovation and working with new technologies', 'Competitive compensation package', 'Free hospital health insurance', 'Support in various life situations (e.g. childcare, care, etc.)', 'Company pension scheme']"
IT Sonix Custom Development GmbH,"Agile Software Development, Software Consulting, Software Development / Engineering",51-200 employees,2011,Private,167,"['java', 'spring', 'boot', '.net', 'core', 'c#', 'angular', 'javascript', 'react', 'vue', 'kubernetes', 'aws', 'devops', 'docker', 'user-experience', 'user-interface', 'agile', 'azure']","['Weiterbildung', 'Flexible Arbeitszeiten', 'Mobiles Arbeiten (Hybrid)', 'Jobticket', 'Jobrad', 'Sport & Gesundheit', 'Mittagsangebot/Kantine & Küchen', 'Kita-Zuschuss', 'Mitarbeitenden-Events: Spieleabende, monatliche After Works etc.']"
adjoe,"Ad Tech, Advertising Technology, Mobile Application",51-200 employees,2018,Private,368,"['ios', 'android', 'mobile', 'kotlin', 'elasticsearch', 'microservices', 'apache-kafka', 'apache-spark', 'devops', 'typescript', 'java', 'aws', 'druid', 'react-native', 'flutter', 'go', 'react', 'bash', 'golang', 'docker', 'kubernetes', 'packer', 'terraform', 'mysql', 'mongodb', 'swift', 'sql', 'json', 'protobuf', 'grpc', 'sentry', 'git', 'gitlab', 'gitlab-ci']","['Work with the newest technologies', 'Free in-house food and drinks', 'Flexible working hours with WFH days', 'Generous annual conference budget', 'Relocation support', 'Dog-friendly office', 'German class reimbursement and yoga classes', 'Free in-house gym', 'Regular company hackathons', 'Virtual stock options']"
GFT,"Banking, Cloud-Based Solutions, Financial Technology",1k-5k employees,1987,Private,167,"['java', 'angular', '.net', 'react', 'sql', 'python', 'rest', 'spring', 'node', 'aws', 'hibernate', 'android', 'ios', 'mongodb', 'azure', 'git', 'javascript', 'typescript', 'gcp', 'guidewire', 'dlt', 'kubernetes', 'scala', 'kotlin', 'spark', 'terraform', 'kafka', 'ansible', 'helm', 'docker', 'flutter', 'istio', 'bigquery', 'postgres', 'thoughtmachine']","['Worksmile - a cafeteria system. Monthly account funding for everyone.', 'Life insurance & Medical care for you and your family.', 'Work From Anywhere program: Italy,Spain,UK,Germany,Portugal,Bulgaria', 'Cloud certificates - mentoring, preparation, payment of the exam.', 'Access to e-learning,e.g. Pluralsight, Egghead, O’reilly, A Cloud Guru', 'Bee Well - wellbeing program + Mindgram platform', 'Conferences, meetups, events. Internal & external.', 'Gifts and celebrations.', 'Passion support groups & integration events like Thursday Happy Hours.', 'Sports card for you and your family. Mastercard gift or lunch card.']"
Pluralsight,SaaS,1k-5k employees,2004,VC Funded,401,"['.net', 'c#', 'c++', 'golang', 'java', 'javascript', 'kotlin', 'nginx', 'node', 'python', 'r', 'reactjs', 'ruby', 'scala', 'sql', 'swift', 'typescript', 'vue.js', 'asp.net', 'django', 'express', 'flask', 'node.js', 'on', 'rails', 'spark', 'tensorflow', 'junit-jupiter', 'jest', 'amazon-web-services', 'kubernetes', 'terraform', 'docker']","['Unlimited paid time off', 'Summer Fridays', 'Comprehensive medical, dental and vision coverage', 'Pluralsight subscription', 'Wellness reimbursement', 'Tuition reimbursement', 'Parental leave', '+Much more']"
S&P Global,"Artificial Intelligence, Business Intelligence, Financial Technology",10k+ employees,1860,Public,148,"['python', 'java', '.net', 'amazon-web-services', 'artificial-intelligence', 'large-language-model', 'containers', 'reactjs', 'angular', 'linux', 'unix', 'oracle', 'kubernetes', 'docker', 'powershell', 'api', 'machine-learning', 'data-science', 'microservices', 'selenium', 'devops', 'nosql', 'sql-server', 'sql', 'javascript', 'jmeter', 'elasticsearch', 'kafka-consumer-api', 'jakarta-ee', 'spring', 'boot', 'html', 'css', 'safe', 'salesforce', 'machine-learning-model', 'llm', 'node.js', 'jenkins', 'jvm', 'amazon-cloudtrail', 'rest', 'scala', 'google-cloud-platform', 'spring-boot', 'elastic-stack', 'postgresql', 'agile']","['Reproductive Wellness', 'Family Leave- Our parental leave offers 26 weeks of paid leave', 'Education Support and Matching Student Loan Support', 'PTO: No prescribed maximum amount of time off', 'Flexible Work Arrangements', '401k', 'Career Coaching', 'Phased Retirement', 'Give Back Days- 5 days off a year to give back', 'Wellbeing Support Program']"
National Security Agency,"Cybersecurity, Federal Agencies, Signals Analysis",10k+ employees,1952,Public,715,"['java', 'c', 'c++', 'angular', 'javascript', 'node.js']","['Work that contributes to the mission of protecting the nation', 'Friendly, welcoming culture that fosters innovation', 'Work/life balance', 'Flexible schedules', 'Continuing education and career development programs', 'Opportunities to move between various fields/positions across NSA', 'Mentorship opportunities and employee resource groups', 'Generous leave programs', 'Family and wellness resources', 'Onsite fitness facilities']"
ALDI SÜD IT,"E-Commerce, Information Technology, Retail",1k-5k employees,1913,Private,52,"['angular', 'asp.net-core', 'azure', 'bash', 'c#', 'continuous-integration', 'adobe', 'office365', 'dynatrace', 'elasticsearch', 'gitlab', 'itil', 'ivanti', 'kotlin', 'android', 'kubernetes', 'leanix', 'manhattan', 'wmoseemcsci', 'mariadb', 'maven', 'javascript', 'microsoft-sql-db', 'sql', 'pandas', 'php', 'php-8', 'piwik', 'postgresql', 'pwa', 'python', 'redis', 'rest', 'salesforce', 'sap-adm-synti', 'sap-ariba', 'sap-business-technology-p', 'sap-charm', 'sap-cpi', 'sap-cpt', 'sap-dev-gov', 'sap-em', 'sap-re-fx', 'sap-s4-hana', 'sap-s4', 'sap-solution-manager', 'sap-tm', 'servicenow', 'signavio', 'soap', 'spring', 'spryker', 'symfony', 'thinktime', 'vim', 'user-experience', 'xamarin', 'coupa-llamasoft', 'alteryx', 'comosoft', 'miro', 'sprinklr', 'celonis', 'tableau', 'hadoop', 'continuous-deployment', 'cicd', 'java', 'user-interface', 'vue.js', 'maui', 'tableau-desktop', 'spring-boot']","['30 days of annual leave', 'Holiday and Christmas bonus', 'Partial mobile working within Germany', 'Working time accounts', 'Remote work abroad', 'International projects', 'Modern equipment plus hardware budget', 'Bring your own device', 'Training and development, opportunity to attend fairs and conferences', '“MINT42” Canteen']"
Nord Security,"Cybersecurity, Network Security, Software Development",1k-5k employees,2012,Private,484,"['php', 'go', 'mysql', 'apache-kafka', 'symfony', 'echo', 'cassandra', 'docker', 'slim', 'kubernetes', 'rabbitmq', 'redis', 'javascript', 'typescript', 'redux', 'reactjs', 'node.js', 'next.js', 'c++', 'rust', 'swift', 'cocoapods', 'kotlin', 'dagger', 'kotlin-coroutines', 'c#', '.net', 'python', 'minio', 'apache-spark', 'jupyter']","['The opportunity to shape a more trusted and peaceful online future.', 'L&D support like conferences, internal meetups, books, and more.', 'Work with the latest technologies.', 'Stability. After bootstrapping for 10 years, we know stable growth.', 'Team buildings, parties, and opportunities to travel to HQ.', 'Flexible working arrangements built around the individual.', 'An international team. We’re 55+ nationalities and growing.', 'Gym membership, online & in-person workouts, mental health support.', 'Access to all Nord products, free of charge.', 'Learn from top minds in a cybersecurity unicorn.']"
